,STOP_ID,OFF_STOP_ID,TOTAL_PRICE,PATH,new cost,total_distance2,X,Y,longitude,latitude,district,district_encoded
3657,3104,122,10.4,"[3104, 122]",10.4,20865.08237,839314.0,808763.0,114.20641731047932,22.21752263365286,Southern,10
3658,10007,122,10.4,"[10007, 122]",10.4,20622.85107,839173.0,808740.0,114.20504971788588,22.217315170363783,Southern,10
3659,3097,122,10.4,"[3097, 122]",10.4,20309.49505,839173.0,808618.0,114.20504949745884,22.216213424092192,Southern,10
3660,8066,122,10.4,"[8066, 122]",10.4,19772.43267,839130.0,808704.0,114.20463259984068,22.216990136727144,Southern,10
3661,10309,122,10.4,"[10309, 122]",10.4,12907.99525,839122.0,808901.0,114.20455535830403,22.218769199039954,Southern,10
3662,1275,122,10.4,"[1275, 122]",10.4,12617.75225,839000.0,809031.0,114.20337229767236,22.219943387972123,Southern,10
3663,3108,122,10.4,"[3108, 122]",10.4,12006.55261,838965.0,809414.0,114.20303347152766,22.22340220181937,Southern,10
3664,408,122,10.4,"[408, 122]",10.4,11221.28705,838976.0,809685.0,114.20314062104362,22.22584950391377,Southern,10
3665,13330,122,10.4,"[13330, 122]",10.4,10927.89312,838749.0,810584.0,114.20094021945891,22.23396843810561,Southern,10
3666,409,122,10.4,"[409, 122]",10.4,10280.4103,838621.0,810750.0,114.19969885312354,22.23546771162556,Southern,10
3667,3110,122,10.4,"[3110, 122]",10.4,9603.19763,838445.0,811035.0,114.19799200827433,22.238041688163893,Southern,10
3668,1135,10000286,10.0,"[1135, 457, 10000286]",8.0,18349.83092,833319.0,811366.0,114.14826737865556,22.241029714101348,Southern,10
3669,12923,10000286,10.0,"[12923, 457, 10000286]",8.0,18214.67036,833319.0,811576.0,114.1482669943055,22.24292615669342,Southern,10
3670,3134,10000286,10.0,"[3134, 458, 10000286]",8.0,13365.01467,833132.0,811621.0,114.14645287750494,22.2433322084295,Southern,10
3671,475,10000286,10.0,"[475, 372, 10000286]",8.0,11177.42349,833886.0,812340.0,114.15376615697672,22.249826465143613,Southern,10
3672,7125,122,10.0,"[7125, 112, 122]",10.0,30370.28623,843825.0,813845.0,114.25019312080452,22.26340268445785,Eastern,1
3673,190,122,10.0,"[190, 112, 122]",10.0,25713.5733,842760.0,814619.0,114.23986351886842,22.270396743083285,Eastern,1
3674,188,122,10.0,"[188, 112, 122]",10.0,25156.43597,842901.0,815158.0,114.24123381083704,22.27526372166725,Eastern,1
