ROUTE_ID,CHANGE
1000588,ADD
1000589,ADD
1000590,ADD
1000092,DELETE
1029,UPDATE
1287,UPDATE
1327,UPDATE
1332,UPDATE
1389,UPDATE
1396,UPDATE
1491,UPDATE
1585,UPDATE
1586,UPDATE
1587,UPDATE
1749,UPDATE
1805,UPDATE
1985,UPDATE
8406,UPDATE
8468,UPDATE
8497,UPDATE
8498,UPDATE
1000091,UPDATE
1000093,UPDATE
1000094,UPDATE
1000309,UPDATE
1000311,UPDATE
1000314,UPDATE
1000533,UPDATE
1000588,UPDATE
1000589,UPDATE
1000590,UPDATE
