Region,Latitude,Longitude
Hong Kong Island,22.26242378149382,114.19389617548109
Kowloon,22.329273775071425,114.18980939496161
New Territories,22.41201074906853,114.14783379080625
Other,22.28291868852459,114.02142049180326
